user_id,age,gender,occupation,zip_code,prenom,nom,email,preferred_genre,best_rated_movie
1,24,M,technician,85711,Stephanie,Green,stephanie.green@gmail.com,Drama,Groundhog Day (1993)
2,53,F,other,94043,Kimberly,Martin,kimberly.martin@outlook.com,Drama,Shall We Dance? (1996)
3,23,M,writer,32067,Glenn,Rangel,glenn.rangel@gmail.com,Drama,Conspiracy Theory (1997)
4,24,M,technician,43537,Theodore,Leonard,theodore.leonard@outlook.com,Thriller,Ulee's Gold (1997)
5,33,F,other,15213,Thomas,Dixon,thomas.dixon@outlook.com,Comedy,"Adventures of Priscilla, Queen of the Desert, The (1994)"
6,42,M,executive,98101,Anthony,Lewis,anthony.lewis@yahoo.com,Drama,"Postino, Il (1994)"
7,57,M,administrator,91344,Lauren,Brown,lauren.brown@outlook.com,Drama,East of Eden (1955)
8,36,M,administrator,05201,Michelle,Anthony,michelle.anthony@yahoo.com,Action,Braveheart (1995)
9,29,M,student,01002,Brooke,Baker,brooke.baker@outlook.com,Drama,Face/Off (1997)
10,53,M,lawyer,90703,Patricia,Rosario,patricia.rosario@yahoo.com,Drama,Laura (1944)
11,39,F,other,30329,Christopher,Harris,christopher.harris@yahoo.com,Drama,Boys on the Side (1995)
12,28,F,other,06405,Joseph,Shaw,joseph.shaw@outlook.com,Drama,Philadelphia (1993)
13,47,M,educator,29206,Amy,Johnson,amy.johnson@yahoo.com,Drama,Field of Dreams (1989)
14,45,M,scientist,55106,Stephen,Burns,stephen.burns@yahoo.com,Drama,"Room with a View, A (1986)"
15,49,F,educator,97301,Scott,Shepherd,scott.shepherd@gmail.com,Drama,Red Corner (1997)
16,21,M,entertainment,10309,Rebecca,Johnson,rebecca.johnson@outlook.com,Drama,"Shawshank Redemption, The (1994)"
17,30,M,programmer,06355,Tiffany,Carroll,tiffany.carroll@outlook.com,Drama,Swingers (1996)
18,35,F,other,37212,John,Benson,john.benson@yahoo.com,Drama,"Close Shave, A (1995)"
19,40,M,librarian,02138,Timothy,Mason,timothy.mason@yahoo.com,Comedy,Butch Cassidy and the Sundance Kid (1969)
20,42,F,homemaker,95660,Cheryl,Harmon,cheryl.harmon@yahoo.com,Action,Searching for Bobby Fischer (1993)
21,26,M,writer,30068,Thomas,Smith,thomas.smith@gmail.com,Thriller,Heavenly Creatures (1994)
22,25,M,writer,40206,Joel,Romero,joel.romero@yahoo.com,Comedy,Supercop (1992)
23,30,F,artist,48197,Lori,Dougherty,lori.dougherty@gmail.com,Drama,Contact (1997)
24,21,F,artist,94533,Todd,Ellis,todd.ellis@yahoo.com,Drama,"Shawshank Redemption, The (1994)"
25,39,M,engineer,55107,Cynthia,Simon,cynthia.simon@yahoo.com,Comedy,Return of the Jedi (1983)
26,49,M,engineer,21044,Melanie,Parker,melanie.parker@yahoo.com,Drama,Fargo (1996)
27,40,F,librarian,30030,Samantha,May,samantha.may@outlook.com,Thriller,Fargo (1996)
28,32,M,writer,55369,Stephanie,Hughes,stephanie.hughes@gmail.com,Thriller,"Silence of the Lambs, The (1991)"
29,41,M,programmer,94043,Roy,Lee,roy.lee@gmail.com,Thriller,"English Patient, The (1996)"
30,7,M,student,55436,Gary,Bright,gary.bright@yahoo.com,Comedy,Butch Cassidy and the Sundance Kid (1969)
31,24,M,artist,10003,Benjamin,Waller,benjamin.waller@outlook.com,Drama,"Maltese Falcon, The (1941)"
32,28,F,student,78741,Joe,Gomez,joe.gomez@outlook.com,Comedy,Trainspotting (1996)
33,23,M,student,27510,Katelyn,Thomas,katelyn.thomas@yahoo.com,Thriller,Titanic (1997)
34,38,F,administrator,42141,Kelli,Bell,kelli.bell@outlook.com,Drama,Kolya (1996)
