user_id,age,gender,occupation,zip_code,prenom,nom,email,preferred_genre,best_rated_movie
1,24,M,technician,85711,Lauren,Schmitt,lauren.schmitt@gmail.com,Drama,Groundhog Day (1993)
2,53,F,other,94043,James,Lester,james.lester@yahoo.com,Drama,Shall We Dance? (1996)
3,23,M,writer,32067,Raven,Wise,raven.wise@yahoo.com,Drama,Conspiracy Theory (1997)
4,24,M,technician,43537,Natalie,Randall,natalie.randall@outlook.com,Thriller,Ulee's Gold (1997)
5,33,F,other,15213,Timothy,Collins,timothy.collins@yahoo.com,Comedy,"Adventures of Priscilla, Queen of the Desert, The (1994)"
6,42,M,executive,98101,Barbara,Richardson,barbara.richardson@yahoo.com,Drama,"Postino, Il (1994)"
7,57,M,administrator,91344,Michelle,Wilson,michelle.wilson@yahoo.com,Drama,East of Eden (1955)
8,36,M,administrator,05201,Rebecca,Cooper,rebecca.cooper@gmail.com,Action,Braveheart (1995)
9,29,M,student,01002,Lisa,Armstrong,lisa.armstrong@outlook.com,Drama,Face/Off (1997)
10,53,M,lawyer,90703,Sean,Browning,sean.browning@yahoo.com,Drama,Laura (1944)
11,39,F,other,30329,Andrea,Christian,andrea.christian@gmail.com,Drama,Boys on the Side (1995)
12,28,F,other,06405,Philip,Hernandez,philip.hernandez@yahoo.com,Drama,Philadelphia (1993)
13,47,M,educator,29206,Kristy,Yoder,kristy.yoder@gmail.com,Drama,Field of Dreams (1989)
14,45,M,scientist,55106,Taylor,Watson,taylor.watson@yahoo.com,Drama,"Room with a View, A (1986)"
15,49,F,educator,97301,Jason,Vasquez,jason.vasquez@yahoo.com,Drama,Red Corner (1997)
16,21,M,entertainment,10309,Cheryl,Gonzalez,cheryl.gonzalez@gmail.com,Drama,"Shawshank Redemption, The (1994)"
17,30,M,programmer,06355,Julia,Coleman,julia.coleman@outlook.com,Drama,Swingers (1996)
18,35,F,other,37212,Rachel,Cooke,rachel.cooke@yahoo.com,Drama,"Close Shave, A (1995)"
19,40,M,librarian,02138,April,Ruiz,april.ruiz@yahoo.com,Comedy,Butch Cassidy and the Sundance Kid (1969)
20,42,F,homemaker,95660,Thomas,Martinez,thomas.martinez@outlook.com,Action,Searching for Bobby Fischer (1993)
21,26,M,writer,30068,Beverly,Franco,beverly.franco@yahoo.com,Thriller,Heavenly Creatures (1994)
22,25,M,writer,40206,Nathan,Snyder,nathan.snyder@gmail.com,Comedy,Supercop (1992)
23,30,F,artist,48197,Evan,Wilson,evan.wilson@gmail.com,Drama,Contact (1997)
24,21,F,artist,94533,Martin,Reese,martin.reese@gmail.com,Drama,"Shawshank Redemption, The (1994)"
25,39,M,engineer,55107,Michael,Lee,michael.lee@yahoo.com,Comedy,Return of the Jedi (1983)
